# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /home/jonathan/Desktop/sukesChip/DE10_NANO_SoC_GHRD_pin_planner_hardwareV2.csv
# Generated on: Tue Sep 17 11:26:46 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Location,Direction,I/O Bank,I/O Standard,VREF Group,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation,Fitter Location
COMLED[3],PIN_D11,Output,8A,2.5 V,B8A_N0,,minimum current,0,,,,,,,,,,,PIN_D11
COMLED[2],PIN_AH13,Output,4A,2.5 V,B4A_N0,,minimum current,0,,,,,,,,,,,PIN_AH13
COMLED[1],PIN_AH14,Output,4A,2.5 V,B4A_N0,,minimum current,0,,,,,,,,,,,PIN_AH14
COMLED[0],PIN_AH3,Output,3B,2.5 V,B3B_N0,,minimum current,0,,,,,,,,,,,PIN_AH3
EXTERNAL_TRIGGER_INPUT,PIN_AA26,Input,5B,2.5 V,B5B_N0,,12ma,,,,,,,,,,,,PIN_AA26
FPGA_CLK1_50,PIN_V11,Input,3B,2.5 V,B3B_N0,,12ma,,,,,,,,,,,,PIN_V11
FPGA_CLK2_50,PIN_Y13,Input,4A,2.5 V,B4A_N0,,12ma,,,,,,,,,,,,PIN_Y13
FPGA_CLK3_50,PIN_E11,Input,8A,2.5 V,B8A_N0,,12ma,,,,,,,,,,,,PIN_E11
FRAME_CLK,PIN_AE24,Input,4A,LVDS,B4A_N0,,,,FRAME_CLK(n),,,,,,,,,,PIN_AE24
HPS_CONV_USB_N,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C6
HPS_DDR3_ADDR[14],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_G23
HPS_DDR3_ADDR[13],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_C24
HPS_DDR3_ADDR[12],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_D24
HPS_DDR3_ADDR[11],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_B24
HPS_DDR3_ADDR[10],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_A24
HPS_DDR3_ADDR[9],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_F25
HPS_DDR3_ADDR[8],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_F26
HPS_DDR3_ADDR[7],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_B26
HPS_DDR3_ADDR[6],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_C26
HPS_DDR3_ADDR[5],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_J20
HPS_DDR3_ADDR[4],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_J21
HPS_DDR3_ADDR[3],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_D26
HPS_DDR3_ADDR[2],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_E26
HPS_DDR3_ADDR[1],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_B28
HPS_DDR3_ADDR[0],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_C28
HPS_DDR3_BA[2],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_G25
HPS_DDR3_BA[1],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_H25
HPS_DDR3_BA[0],,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_A27
HPS_DDR3_CAS_N,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_A26
HPS_DDR3_CKE,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_L28
HPS_DDR3_CK_N,,Output,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_P,,,,,,,,,,PIN_N20
HPS_DDR3_CK_P,,Output,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_N,,,,,,,,,,PIN_N21
HPS_DDR3_CS_N,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_L21
HPS_DDR3_DM[3],,Output,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_AB28
HPS_DDR3_DM[2],,Output,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_W28
HPS_DDR3_DM[1],,Output,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_P28
HPS_DDR3_DM[0],,Output,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_G28
HPS_DDR3_DQ[31],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_AA27
HPS_DDR3_DQ[30],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_Y27
HPS_DDR3_DQ[29],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_T24
HPS_DDR3_DQ[28],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_R24
HPS_DDR3_DQ[27],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_W26
HPS_DDR3_DQ[26],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_AA28
HPS_DDR3_DQ[25],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_R25
HPS_DDR3_DQ[24],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_R26
HPS_DDR3_DQ[23],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_V27
HPS_DDR3_DQ[22],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_R27
HPS_DDR3_DQ[21],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_N27
HPS_DDR3_DQ[20],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_N26
HPS_DDR3_DQ[19],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_U28
HPS_DDR3_DQ[18],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_T28
HPS_DDR3_DQ[17],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_N25
HPS_DDR3_DQ[16],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_N24
HPS_DDR3_DQ[15],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_N28
HPS_DDR3_DQ[14],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_M28
HPS_DDR3_DQ[13],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_M26
HPS_DDR3_DQ[12],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_M27
HPS_DDR3_DQ[11],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_J28
HPS_DDR3_DQ[10],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_J27
HPS_DDR3_DQ[9],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_L25
HPS_DDR3_DQ[8],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_K25
HPS_DDR3_DQ[7],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_F28
HPS_DDR3_DQ[6],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_G27
HPS_DDR3_DQ[5],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_K26
HPS_DDR3_DQ[4],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_J26
HPS_DDR3_DQ[3],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_D27
HPS_DDR3_DQ[2],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_E28
HPS_DDR3_DQ[1],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_J24
HPS_DDR3_DQ[0],,Bidir,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_J25
HPS_DDR3_DQS_N[3],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[3],,,,,,,,,,PIN_T20
HPS_DDR3_DQS_N[2],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[2],,,,,,,,,,PIN_T18
HPS_DDR3_DQS_N[1],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[1],,,,,,,,,,PIN_R18
HPS_DDR3_DQS_N[0],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[0],,,,,,,,,,PIN_R16
HPS_DDR3_DQS_P[3],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[3],,,,,,,,,,PIN_U19
HPS_DDR3_DQS_P[2],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[2],,,,,,,,,,PIN_T19
HPS_DDR3_DQS_P[1],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[1],,,,,,,,,,PIN_R19
HPS_DDR3_DQS_P[0],,Bidir,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[0],,,,,,,,,,PIN_R17
HPS_DDR3_ODT,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_D28
HPS_DDR3_RAS_N,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_A25
HPS_DDR3_RESET_N,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_V28
HPS_DDR3_RZQ,,Input,,SSTL-15 Class I,,,,,,,,,,,,,,,PIN_D25
HPS_DDR3_WE_N,,Output,,SSTL-15 Class I,,,maximum current,,,,,,,,,,,,PIN_E25
HPS_ENET_GTX_CLK,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_J15
HPS_ENET_INT_N,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B14
HPS_ENET_MDC,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A13
HPS_ENET_MDIO,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_E16
HPS_ENET_RX_CLK,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_J12
HPS_ENET_RX_DATA[3],,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A9
HPS_ENET_RX_DATA[2],,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C15
HPS_ENET_RX_DATA[1],,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A11
HPS_ENET_RX_DATA[0],,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A14
HPS_ENET_RX_DV,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_J13
HPS_ENET_TX_DATA[3],,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_D17
HPS_ENET_TX_DATA[2],,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A15
HPS_ENET_TX_DATA[1],,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_J14
HPS_ENET_TX_DATA[0],,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A16
HPS_ENET_TX_EN,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A12
HPS_GSENSOR_INT,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A17
HPS_I2C0_SCLK,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C18
HPS_I2C0_SDAT,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A19
HPS_I2C1_SCLK,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_K18
HPS_I2C1_SDAT,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A21
HPS_KEY,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_J18
HPS_LED,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A20
HPS_LTC_GPIO,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_H13
HPS_SD_CLK,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B8
HPS_SD_CMD,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_D14
HPS_SD_DATA[3],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B9
HPS_SD_DATA[2],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B11
HPS_SD_DATA[1],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B6
HPS_SD_DATA[0],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C13
HPS_SPIM_CLK,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C19
HPS_SPIM_MISO,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B19
HPS_SPIM_MOSI,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B16
HPS_SPIM_SS,,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C16
HPS_UART_RX,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_A22
HPS_UART_TX,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_B21
HPS_USB_CLKOUT,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_G4
HPS_USB_DATA[7],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_F4
HPS_USB_DATA[6],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C7
HPS_USB_DATA[5],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_D4
HPS_USB_DATA[4],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C8
HPS_USB_DATA[3],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C4
HPS_USB_DATA[2],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C9
HPS_USB_DATA[1],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_F5
HPS_USB_DATA[0],,Bidir,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C10
HPS_USB_DIR,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_E5
HPS_USB_NXT,,Input,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_D5
HPS_USB_STP,,Output,,3.3-V LVTTL,,,,,,,,,,,,,,,PIN_C5
KEY[1],PIN_AH16,Input,4A,2.5 V,B4A_N0,,12ma,,,,,,,,,,,,PIN_AH16
KEY[0],PIN_AH17,Input,4A,2.5 V,B4A_N0,,12ma,,,,,,,,,,,,PIN_AH17
LED[7],PIN_AA23,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_AA23
LED[6],PIN_Y16,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_Y16
LED[5],PIN_AE26,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_AE26
LED[4],PIN_AF26,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_AF26
LED[3],PIN_V15,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_V15
LED[2],PIN_V16,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_V16
LED[1],PIN_AA24,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_AA24
LED[0],PIN_W15,Output,5A,2.5 V,B5A_N0,,4ma,0,,,,,,,,,,,PIN_W15
SW[3],PIN_W20,Input,5B,2.5 V,B5B_N0,,12ma,,,,,,,,,,,,PIN_W20
SW[2],PIN_W21,Input,5B,2.5 V,B5B_N0,,12ma,,,,,,,,,,,,PIN_W21
SW[1],PIN_W24,Input,5B,2.5 V,B5B_N0,,12ma,,,,,,,,,,,,PIN_W24
SW[0],PIN_Y24,Input,5B,2.5 V,B5B_N0,,12ma,,,,,,,,,,,,PIN_Y24
altera_reserved_tck,,Input,,,,,,,,,,,,,,,,,PIN_AB5
altera_reserved_tdi,,Input,,,,,,,,,,,,,,,,,PIN_W10
altera_reserved_tdo,,Output,,,,,,,,,,,,,,,,,PIN_Y9
altera_reserved_tms,,Input,,,,,,,,,,,,,,,,,PIN_AC7
BIT_CLK(n),PIN_W12,Input,3B,LVDS,B3B_N0,,,,BIT_CLK,,,,,,,,,,PIN_W12
FRAME_CLK(n),PIN_AE23,Input,4A,LVDS,B4A_N0,,,,FRAME_CLK,,,,,,,,,,PIN_AE23
ADC_SDOUT,,Unknown,,2.5 V,,,12ma,,,,,,,,,,,,
ADC_SYNC,,Unknown,,2.5 V,,,4ma,,,,,,,,,,,,
LOSS_OF_SIGNAL[0],,Unknown,,2.5 V,,,12ma,,,,,,,,,,,,
LOSS_OF_SIGNAL[1],,Unknown,,2.5 V,,,12ma,,,,,,,,,,,,
LOSS_OF_SIGNAL,,Unknown,,2.5 V,,,12ma,,,,,,,,,,,,
VARGAIN[1],,Unknown,,2.5 V,,,4ma,,,,,,,,,,,,
VARGAIN[0],,Unknown,,2.5 V,,,4ma,,,,,,,,,,,,
VARGAIN,,Unknown,,2.5 V,,,4ma,,,,,,,,,,,,
